entity_id,entity_label,entity_class,synonym,plural,wikipedia_page,definition,definition_source,wikidata_page,last_checked
1-naphthol,1-naphthol,matter,,,https://en.wikipedia.org/wiki/1-Naphthol,"1-Naphthol, or α-naphthol, is a fluorescent organic compound with the formula C10H7OH.  It is a white solid. It is an isomer of 2-naphthol differing by the location of the hydroxyl group on the naphthalene ring. The naphthols are naphthalene homologues of phenol, with the hydroxyl group being more reactive than in the phenols. Both isomers are soluble in simple alcohols, ethers, and chloroform. They are precursors to a variety of useful compounds. Naphthols (both 1 and 2 isomers) are used as biomarkers for livestock and humans exposed to polycyclic aromatic hydrocarbons.",Wikipedia,Q408876,20240416.0
1-naphthylamine,1-naphthylamine,matter,,,https://en.wikipedia.org/wiki/1-Naphthylamine,"1-Naphthylamine is an aromatic amine derived from naphthalene. It can cause bladder cancer (transitional cell carcinoma). It crystallizes in colorless needles which melt at 50 °C. It possesses a disagreeable odor, sublimes readily, and turns brown on exposure to air.  It is the precursor to a variety of dyes.",Wikipedia,Q161655,20240416.0
1-sigma-csu,1-sigma-csu,operation,,,,,,,20240416.0
"1,1-dichloro-2-propanone","1,1-dichloro-2-propanone",matter,,,,,,,20240416.0
"1,1-dichloroethane","1,1-dichloroethane",matter,,,"https://en.wikipedia.org/wiki/1,1-Dichloroethane","1,1-Dichloroethane is a chlorinated hydrocarbon.  It is a colorless oily liquid with a chloroform-like odor.  It is not easily soluble in water, but miscible with most organic solvents.",Wikipedia,Q161282,20240416.0
"1,1-dichloroethene","1,1-dichloroethene",matter,"vinylidene chloride, 1,1-dichloroethylene, 1,1-dce",,"https://en.wikipedia.org/wiki/1,1-Dichloroethene","1,1-Dichloroethene, commonly called 1,1-dichloroethylene or vinylidene chloride or 1,1-DCE, is an organochloride with the molecular formula C2H2Cl2.  It is a colorless liquid with a sharp odor. Like most chlorocarbons, it is poorly soluble in water, but soluble in organic solvents. 1,1-DCE was the precursor to the original clingwrap, Saran, for food, but this application has been phased out.",Wikipedia,Q161284,20240416.0
"1,1-dichloropropene","1,1-dichloropropene",matter,,,,,,,20240416.0
"1,1,1-trichloro-2-propanone","1,1,1-trichloro-2-propanone",matter,,,,,,,20240416.0
"1,1,1-trichloroethane","1,1,1-trichloroethane",matter,,,"https://en.wikipedia.org/wiki/1,1,1-Trichloroethane","The organic compound 1,1,1-trichloroethane, also known as methyl chloroform, is a chloroalkane with the chemical formula CH3CCl3. It is an isomer of 1,1,2-trichloroethane. This colorless, sweet-smelling liquid was once produced industrially in large quantities for use as a solvent. It is regulated by the Montreal Protocol as an ozone-depleting substance and its use is being rapidly phased out.",Wikipedia,Q161268,20240416.0
"1,1,1,2-tetrachloroethane","1,1,1,2-tetrachloroethane",matter,,,"https://en.wikipedia.org/wiki/1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane is a chlorinated hydrocarbon.  It is a colorless liquid with a sweet chloroform-like odor.  It is used as a solvent and in the production of wood stains and varnishes.",Wikipedia,Q161264,20240416.0
"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-trichloro-1,2,2-trifluoroethane",matter,trichlorotrifluoroethane,,"https://en.wikipedia.org/wiki/1,1,2-Trichloro-1,2,2-trifluoroethane","1,1,2-Trichloro-1,2,2-trifluoroethane, also called trichlorotrifluoroethane or CFC-113, is a chlorofluorocarbon. It has the formula Cl2FC−CClF2. This colorless, volatile liquid is a versatile solvent.",Wikipedia,Q161276,20240416.0
"1,1,2-trichloroethane","1,1,2-trichloroethane",matter,,,"https://en.wikipedia.org/wiki/1,1,2-Trichloroethane","1,1,2-Trichloroethane, or 1,1,2-TCA, is an organochloride solvent with the molecular formula C2H3Cl3.  It is a colourless, sweet-smelling liquid that does not dissolve in water, but is soluble in most organic solvents. It is an isomer of 1,1,1-trichloroethane.",Wikipedia,Q161280,20240416.0
"1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane",matter,,,"https://en.wikipedia.org/wiki/1,1,2,2-Tetrachloroethane","1,1,2,2-tetrachloroethane (TeCA), also known as bonoform, cellon, or westron is an organic compound. It is colorless liquid and has a sweet odor. It is used as an industrial solvent or as a separation agent. TeCA is toxic and it can be inhaled, consumed or absorbed through the skin. After exposure, nausea, dizziness or even liver damage may occur.",Wikipedia,Q161275,20240416.0
"1,1'-biphenyl","1,1'-biphenyl",matter,biphenyl,,https://en.wikipedia.org/wiki/Biphenyl,"Biphenyl (also known as diphenyl, phenylbenzene, 1,1′-biphenyl, lemonene or BP) is an organic compound that forms colorless  crystals.  Particularly in older literature, compounds containing the functional group consisting of biphenyl less one hydrogen (the site at which it is attached) may use the prefixes xenyl or diphenylyl.It has a distinctively pleasant smell. Biphenyl is an aromatic hydrocarbon with a molecular formula (C6H5)2. It is notable as a starting material for the production of polychlorinated biphenyls (PCBs), which were once widely used as dielectric fluids and heat transfer agents.",Wikipedia,Q410915,20240416.0
"1,2-bis(2,4,6-tribromophenoxy)ethane","1,2-bis(2,4,6-tribromophenoxy)ethane",matter,,,,,,,20240416.0
"1,2-dibromo-3-chloropropane","1,2-dibromo-3-chloropropane",matter,,,"https://en.wikipedia.org/wiki/1,2-Dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane, (dibromochloropropane) better known as DBCP, is the organic compound with the formula BrCH(CH2Br)(CH2Cl).  It is a dense colorless liquid although commercial samples often appear amber or even brown. It is the active ingredient in the nematicide Nemagon, also known as Fumazone.",Wikipedia,Q161465,20240416.0
"1,2-dibromoethane","1,2-dibromoethane",matter,"ethylene dibromide, ede",,"https://en.wikipedia.org/wiki/1,2-Dibromoethane","1,2-Dibromoethane, also known as ethylene dibromide (EDB), is an organobromine compound with the chemical formula C2H4Br2. Although trace amounts occur naturally in the ocean, where it is formed probably by algae and kelp, it is mainly synthetic. It is a dense colorless liquid with a faint, sweet odor, detectable at 10 ppm, and is a widely used and sometimes-controversial fumigant. The combustion of 1,2-dibromoethane produces hydrogen bromide gas that is significantly corrosive.",Wikipedia,Q161471,20240416.0
"1,2-dibromoethene","1,2-dibromoethene",matter,"ethene,-1,2-dibromo-",,"https://en.wikipedia.org/wiki/1,2-Dibromoethylene","1,2-Dibromoethylene, also known as 1,2-dibromoethene and acetylene dibromide, is a dihalogenated unsaturated compound with one bromine on each of the two carbon atoms. There are two isomers of this compound, cis and trans. Both isomers are colorless liquids.",Wikipedia,Q161467,20240416.0
"1,2-dichloro-1,1,2-trifluoroethane","1,2-dichloro-1,1,2-trifluoroethane",matter,,,"https://en.wikipedia.org/wiki/1,2-Dichloro-1,1,2-trifluoroethane","1,2-Dichloro-1,1,2-trifluoroethane is a volatile liquid chlorofluoroalkane composed of carbon, hydrogen, chlorine and fluorine, and with structural formula CClF2CHClF. It is also known as a refrigerant with the designation R-123a.",Wikipedia,Q27282088,20240416.0
"1,2-dichlorobenzene","1,2-dichlorobenzene",matter,o-dichlorobenzene,,"https://en.wikipedia.org/wiki/1,2-Dichlorobenzene","1,2-Dichlorobenzene, or orthodichlorobenzene (ODCB), is an organic compound with the formula C6H4Cl2. This colourless liquid is poorly soluble in water but miscible with most organic solvents. It is a derivative of benzene, consisting of two adjacent chlorine atoms.",Wikipedia,Q2609815,20240416.0
"1,2-dichloroethane","1,2-dichloroethane",matter,"ethylene dichloride, edc",,"https://en.wikipedia.org/wiki/1,2-Dichloroethane","The chemical compound 1,2-dichloroethane, commonly known as ethylene dichloride (EDC), is a chlorinated hydrocarbon.  It is a colourless liquid with a chloroform-like odour. The most common use of 1,2-dichloroethane is in the production of vinyl chloride, which is used to make polyvinyl chloride (PVC) pipes, furniture and automobile upholstery, wall coverings, housewares, and automobile parts. 1,2-Dichloroethane is also used generally as an intermediate for other organic chemical compounds, and as a solvent. It forms azeotropes with many other solvents, including water (at a boiling point of 70.5 °C or 158.9 °F or 343.6 K) and other chlorocarbons.",Wikipedia,Q161480,20240416.0
"1,2-dichloroethene","1,2-dichloroethene",matter,"1,2-dichloroethylene",,"https://en.wikipedia.org/wiki/1,2-Dichloroethene","1,2-Dichloroethene, commonly called 1,2-dichloroethylene or 1,2-DCE, is the name for a pair of organochlorine compounds with the molecular formula C2H2Cl2.  They are both colorless liquids with a sweet odor.  It can exist as either of two geometric isomers, cis-1,2-dichloroethene or trans-1,2-dichloroethene, but is often used as a mixture of the two.  They have modest solubility in water.  These compounds have some applications as a degreasing solvent. In contrast to most cis-trans compounds, the Z isomer (cis) is more stable than the E isomer (trans) by 0.4 kcal/mol.",Wikipedia,Q161475,20240416.0
"1,2-dichloropropane","1,2-dichloropropane",matter,,,"https://en.wikipedia.org/wiki/1,2-Dichloropropane","1,2-Dichloropropane is an organic compound classified as a chlorocarbon.  It is a colorless, flammable liquid with a sweet odor. it is obtained as a byproduct of the production of epichlorohydrin, which is produced on a large scale.",Wikipedia,Q161478,20240416.0
"1,2-dichloropropene","1,2-dichloropropene",matter,,,,,,,20240416.0
"1,2-dimethylnaphthalene","1,2-dimethylnaphthalene",matter,,,,,,,20240416.0
"1,2-diphenylhydrazine","1,2-diphenylhydrazine",matter,hydrazobenzone,,"https://en.wikipedia.org/wiki/1,2-diphenylhydrazine",chemical compound,Wikidata,Q424993,20240416.0
"1,2,3-trichlorobenzene","1,2,3-trichlorobenzene",matter,,,"https://en.wikipedia.org/wiki/1,2,3-Trichlorobenzene","1,2,3-Trichlorobenzene is an organochlorine compound with the chemical formula C6H3Cl3. This is one of three isomers of trichlorobenzene; the two others are 1,2,4-Trichlorobenzene and 1,3,5-Trichlorobenzene.",Wikipedia,Q1917053,20240416.0
"1,2,3-trichloropropane","1,2,3-trichloropropane",matter,,,"https://en.wikipedia.org/wiki/1,2,3-Trichloropropane","1,2,3-Trichloropropane (TCP) is an organic compound with the formula CHCl(CH2Cl)2.  It is a colorless liquid that is used as a solvent and in other specialty applications.",Wikipedia,Q161301,20240416.0
"1,2,3-trimethylbenzene","1,2,3-trimethylbenzene",matter,,,"https://en.wikipedia.org/wiki/1,2,3-Trimethylbenzene","1,2,3-Trimethylbenzene is an organic compound with the chemical formula C6H3(CH3)3.  Classified as an aromatic hydrocarbon, it is a flammable colorless liquid.    It is nearly insoluble in water but soluble in organic solvents.  It occurs naturally in coal tar and petroleum. It is one of the three isomers of trimethylbenzene. It is used in jet fuel, mixed with other hydrocarbons, to prevent the formation of solid particles which might damage the engine.",Wikipedia,Q4352416,20240416.0
"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",matter,,,,,,,20240416.0
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin","1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",matter,,,https://en.wikipedia.org/wiki/Heptachlorodibenzo-p-dioxin,"1,2,3,4,6,7,8-Heptachlorodibenzo-para-dioxin (often referred to as 1,2,3,4,6,7,8-HpCDD) is a polychlorinated derivative of dibenzo-p-dioxin and can therefore be categorized as polychlorinated dibenzo-p-dioxin (PCDD), a subclass of dioxins which includes 75 congeners. HpCDD is the dibenzo-p-dioxin which is chlorinated at positions 1, 2, 3, 4, 6, 7, and 8. It is a polycyclic heterocyclic organic compound, since HpCDD contains multiple cyclic structures (two benzene rings connected by a 1,4-dioxin ring) in which two different elements (carbon and oxygen) are members of its rings. HpCDD has molecular formula C12HCl7O2 and is an off-white powder, which is insoluble in water.",Wikipedia,Q26841244,20240416.0
"1,2,3,4,6,7,8-heptachlorodibenzofuran","1,2,3,4,6,7,8-heptachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin","1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",matter,,,,,,,20240416.0
"1,2,3,4,6,7,8,9-octachlorodibenzofuran","1,2,3,4,6,7,8,9-octachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin","1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",matter,,,,,,,20240416.0
"1,2,3,4,7,8-hexachlorodibenzofuran","1,2,3,4,7,8-hexachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,3,4,7,8,9-heptachlorodibenzofuran","1,2,3,4,7,8,9-heptachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,3,5-tetramethylbenzene","1,2,3,5-tetramethylbenzene",matter,,,,,,,20240416.0
"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-hexachlorodibenzo-p-dioxin",matter,,,,,,,20240416.0
"1,2,3,6,7,8-hexachlorodibenzofuran","1,2,3,6,7,8-hexachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,3,7,8-pentachlorodibenzo-p-dioxin","1,2,3,7,8-pentachlorodibenzo-p-dioxin",matter,,,,,,,20240416.0
"1,2,3,7,8-pentachlorodibenzofuran","1,2,3,7,8-pentachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,3,7,8,9-hexachlorodibenzofuran","1,2,3,7,8,9-hexachlorodibenzofuran",matter,,,,,,,20240416.0
"1,2,4-trichlorobenzene","1,2,4-trichlorobenzene",matter,,,"https://en.wikipedia.org/wiki/1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene is an organochlorine compound, one of three isomers of trichlorobenzene. It is a derivative of benzene with three chloride substituents. It is a colorless liquid used as a solvent for a variety of compounds and materials.",Wikipedia,Q1876830,20240416.0
"1,2,4-trimethylbenzene","1,2,4-trimethylbenzene",matter,,,"https://en.wikipedia.org/wiki/1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene, also known as pseudocumene, is an organic compound with the chemical formula C6H3(CH3)3. Classified as an aromatic hydrocarbon, it is a flammable colorless liquid with a strong odor. It is nearly insoluble in water but soluble in organic solvents. It occurs naturally in coal tar and petroleum (about 3%). It is one of the three isomers of trimethylbenzene.",Wikipedia,Q376994,20240416.0
"1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene",matter,,,,,,,20240416.0
"1,2,4,5-tetramethylbenzene","1,2,4,5-tetramethylbenzene",matter,durene,,https://en.wikipedia.org/wiki/Durene,"Durene, or 1,2,4,5-tetramethylbenzene, is an organic compound with the formula C6H2(CH3)4. It is a colourless solid with a sweet odor.  The compound is classified as an alkylbenzene. It is one of three isomers of  tetramethylbenzene, the other two being prehnitene (1,2,3,4-tetramethylbenzene) and isodurene (1,2,3,5-tetramethylbenzene).  Durene has an unusually high melting point (79.2 °C), reflecting its high molecular symmetry.",Wikipedia,Q907919,20240416.0
"1,3-dichlorobenzene","1,3-dichlorobenzene",matter,m-dichlorobenzene,,"https://en.wikipedia.org/wiki/1,3-Dichlorobenzene","1,3-Dichlorobenzene (also known as meta-dichlorobenzene) is an organic compound with the formula C6H4Cl2. It is the least common of the three isomers of dichlorobenzene, and it is a colorless liquid that is insoluble in water.  It is produced as a minor byproduct of the chlorination of benzene, but can also be prepared in a directed manner by the Sandmeyer reaction of 3-chloroaniline.  It also arises from the isomerization of the other dichlorobenzenes at high temperature.",Wikipedia,Q2216854,20240416.0
"1,3-dichloropropane","1,3-dichloropropane",matter,,,"https://en.wikipedia.org/wiki/1,3-Dichloropropane","1,3-Dichloropropane is a compound of chlorine, hydrogen, and carbon.  It may  be found as a contaminant in soil fumigants containing 1,3-dichloropropene.  It has low acute toxicity.",Wikipedia,Q2436290,20240416.0
"1,3-dichloropropene","1,3-dichloropropene",matter,,,"https://en.wikipedia.org/wiki/1,3-Dichloropropene","1,3-Dichloropropene, sold under diverse trade names,  is an organochlorine compound.  It is colorless liquid with a sweet smell. It dissolves in water and evaporates easily. It is used mainly in farming as a pesticide, specifically  as a preplant fumigant and nematicide. It is widely used in the US and other countries, but is banned in 34 countries, including the European Union.",Wikipedia,Q61854433,20240416.0
"1,3-dinitrobenzene","1,3-dinitrobenzene",matter,m-dinitrobenzene,,https://en.wikipedia.org/wiki/Dinitrobenzene,"Dinitrobenzenes are chemical compounds composed of a benzene ring and two nitro group (-NO2) substituents.  The three possible arrangements of the nitro groups afford three isomers, 1,2-dinitrobenzene, 1,3-dinitrobenzene, and 1,4-dinitrobenzene. Each isomer has the chemical formula C6H4N2O4 and a molar mass of about 168.11 g/mol. 1,3-Dinitrobenzene is the most common isomer and it is used in the manufacture of explosives.",Wikipedia,Q905814,20240416.0
"1,3,5-trichlorobenzene","1,3,5-trichlorobenzene",matter,,,"https://en.wikipedia.org/wiki/1,3,5-Trichlorobenzene","1,3,5-Trichlorobenzene is an organochlorine compound.  It is one of the three isomers of trichlorobenzene.  Being more symmetrical than the other isomers, it exists as colourless crystals whereas the other isomers are liquids at room temperature.",Wikipedia,Q2031856,20240416.0
"1,3,5-trimethylbenzene","1,3,5-trimethylbenzene",matter,,,https://en.wikipedia.org/wiki/Mesitylene,"Mesitylene or 1,3,5-trimethylbenzene is a derivative of benzene with three methyl substituents positioned symmetrically around the ring. The other two isomeric trimethylbenzenes are 1,2,4-trimethylbenzene (pseudocumene) and 1,2,3-trimethylbenzene (hemimellitene). All three compounds have the formula C6H3(CH3)3, which is commonly abbreviated C6H3Me3. Mesitylene is a colorless liquid with sweet aromatic odor. It is a component of coal tar, which is its traditional source. It is a precursor to diverse fine chemicals. The mesityl group (Mes) is a substituent with the formula C6H2Me3 and is found in various other compounds.",Wikipedia,Q425161,20240416.0
"1,3,5-trinitrobenzene","1,3,5-trinitrobenzene",matter,,,"https://en.wikipedia.org/wiki/1,3,5-Trinitrobenzene","1,3,5-Trinitrobenzene is an organic compound with the formula C6H3(NO2)3. It is one of three trinitrated benzene-derivatives. A pale yellow solid, the compound is highly explosive.",Wikipedia,Q420320,20240416.0
"1,4-dichlorobenzene","1,4-dichlorobenzene",matter,p-dichlorobenzene,,"https://en.wikipedia.org/wiki/1,4-Dichlorobenzene","1,4-Dichlorobenzene (1,4-DCB, p-DCB, or para-dichlorobenzene, sometimes abbreviated as PDCB or para) is an organic compound with the formula C6H4Cl2. This colorless solid has a strong odor. The molecule consists of a benzene ring with two chlorine atoms (replacing hydrogen atoms) on opposing sites of the ring.",Wikipedia,Q161529,20240416.0
"1,4-diethylbenzene","1,4-diethylbenzene",matter,,,,,,,20240416.0
"1,4-dioxane","1,4-dioxane",matter,,,"https://en.wikipedia.org/wiki/1,4-Dioxane","1,4-Dioxane () is a heterocyclic organic compound, classified as an ether. It is a colorless liquid with a faint sweet odor similar to that of diethyl ether.  The compound is often called simply dioxane because the other dioxane isomers (1,2- and 1,3-) are rarely encountered.",Wikipedia,Q161532,20240416.0
"1,4-naphthoquinone","1,4-naphthoquinone",matter,,,"https://en.wikipedia.org/wiki/1,4-Naphthoquinone","1,4-Naphthoquinone or para-naphthoquinone is a quinone derived from naphthalene.  It forms volatile yellow triclinic crystals and has a sharp odor similar to benzoquinone.  It  is almost insoluble in cold water, slightly soluble in petroleum ether, and more soluble in polar organic solvents.  In alkaline solutions it produces a reddish-brown color. Vitamin K is a derivative of 1,4-naphthoquinone.  It is a planar molecule with one aromatic ring fused to a quinone subunit.  It is an isomer of 1,2-naphthoquinone.",Wikipedia,Q161542,20240416.0
"1,6-dimethylnaphthalene","1,6-dimethylnaphthalene",matter,,,,,,,20240416.0
10-to-40cm,10-to-40cm,attribute,,,,,,,20240416.0
100-to-200cm,100-to-200cm,attribute,,,,,,,20240416.0
10m,10m,attribute,,,,,,,20240416.0
17-alpha-ethynylestradiol,17-alpha-ethynylestradiol,matter,"ethinyl estradiol, ethinylestradiol",,https://en.wikipedia.org/wiki/Ethinylestradiol,"Ethinylestradiol (EE) is an estrogen medication which is used widely in birth control pills in combination with progestins. In the past, EE was widely used for various indications such as the treatment of menopausal symptoms, gynecological disorders, and certain hormone-sensitive cancers. It is usually taken by mouth but is also used as a patch and vaginal ring.The general side effects of EE include breast tenderness and enlargement, headache, fluid retention, and nausea among others. In men, EE can additionally cause breast development, feminization in general, hypogonadism, and sexual dysfunction. Rare but serious side effects include blood clots, liver damage, and cancer of the uterus.EE is an estrogen, or an agonist of the estrogen receptors, the biological target of estrogens like estradiol. It is a synthetic derivative of estradiol, a natural estrogen, and differs from it in various ways. Compared to estradiol, EE has greatly improved bioavailability when taken by mouth, is more resistant to metabolism, and shows relatively increased effects in certain parts of the body like the liver and uterus. These differences make EE more favorable for use in birth control pills than estradiol, though also result in an increased risk of blood clots and certain other rare adverse effects.EE was developed in the 1930s and was introduced for medical use in 1943. The medication started being used in birth control pills in the 1960s. Today, EE is found in almost all combined forms of birth control pills and is nearly the exclusive estrogen used for this purpose, making it one of if not the most widely used estrogens.",Wikipedia,Q415563,20240416.0
17-beta-estradiol,17-beta-estradiol,matter,estradiol,,https://en.wikipedia.org/wiki/Estradiol,"Estradiol (E2), also spelled oestradiol, is an estrogen steroid hormone and the major female sex hormone. It is involved in the regulation of the estrous and menstrual female reproductive cycles. Estradiol is responsible for the development of female secondary sexual characteristics such as the breasts, widening of the hips and a female-associated pattern of fat distribution. It is also important in the development and maintenance of female reproductive tissues such as the mammary glands, uterus and vagina during puberty, adulthood and pregnancy. It also has important effects in many other tissues including bone, fat, skin, liver, and the brain.",Wikipedia,Q422416,20240416.0
1m,1m,attribute,,,,,,,20240416.0
2-(2-butoxyethoxy)ethyl-acetate,2-(2-butoxyethoxy)ethyl-acetate,matter,diethylene-glycol-monobutyl-ether-acetate,,,,,,20240416.0
2-(4-tert-butylphenoxy)-cyclohexanol,2-(4-tert-butylphenoxy)-cyclohexanol,matter,,,,,,,20240416.0
2-(methylthio)benzothiazole,2-(methylthio)benzothiazole,matter,,,,,,,20240416.0
2-acetylaminofluorene,2-acetylaminofluorene,matter,,,https://en.wikipedia.org/wiki/2-Acetylaminofluorene,"2-Acetylaminofluorene (AAF, 2-AAF) is a carcinogenic and mutagenic derivative of fluorene.  It is used as a biochemical tool in the study of carcinogenesis. It induces tumors in a number of species in the liver, bladder and kidney. The metabolism of this compound in the body by means of biotransformation reactions is the key to its carcinogenicity. 2-AAF is a substrate for cytochrome P-450 (CYP) enzyme, which is a part of a super family found in almost all organisms. This reaction results in the formation of hydroxyacetylaminofluorene which is a proximal carcinogen and is more potent than the parent molecule. The N-hydroxy metabolite undergoes several enzymatic and non-enzymatic rearrangements. It can be O-acetylated by cytosolic N-acetyltransferase enzyme to yield N-acetyl-N-acetoxyaminofluorene. This intermediate can spontaneously rearrange to form the arylamidonium ion and a carbonium ion which can interact directly with DNA to produce DNA adducts. In addition to esterification by acetylation, the N-hydroxy derivative can be O-sulfated by cytosolic sulfur transferase enzyme giving rise to the N-acetyl-N-sulfoxy product.",Wikipedia,Q4382200,20240416.0
"2-amino-4,6-dinitrotoluene","2-amino-4,6-dinitrotoluene",matter,,,,,,,20240416.0
"2-amino-9h-pyrido[2,3-b]indole","2-amino-9h-pyrido[2,3-b]indole",matter,,,,,,,20240416.0
2-amino-n-isopropylbenzamide,2-amino-n-isopropylbenzamide,matter,"benzamide,-2-amino-n-(1-methylethyl)-",,,,,,20240416.0
2-aminobenzimidazole,2-aminobenzimidazole,matter,1h-benzimidazol-2-amine,,,,,,20240416.0
2-bromo-1-chloropropane,2-bromo-1-chloropropane,matter,"propane,-2-bromo-1-chloro-",,https://en.wikipedia.org/wiki/2-Bromo-1-chloropropane,"2-Bromo-1-chloropropane, C3H6BrCl, is an alkyl halide.  This simple compound has a chiral center and is used sometimes to determine the enantiomeric resolution of simple chromatographic methods.",Wikipedia,Q2209121,20240416.0
2-chloro-4-isopropylamino-6-amino-s-triazine,2-chloro-4-isopropylamino-6-amino-s-triazine,matter,,,,,,,20240416.0
2-chloro-6-ethylamino-4-amino-s-triazine,2-chloro-6-ethylamino-4-amino-s-triazine,matter,,,,,,,20240416.0
2-chloroaniline,2-chloroaniline,matter,o-chloroaniline,,,,,,20240416.0
2-chloroethyl-vinyl-ether,2-chloroethyl-vinyl-ether,matter,,,,,,,20240416.0
2-chloronaphthalene,2-chloronaphthalene,matter,,,https://en.wikipedia.org/wiki/2-Chloronaphthalene,"2-Chloronaphthalene is an organochlorine chemical compound, a chlorinated derivative of naphthalene. Its chemical formula is C10H7Cl. The compound is an isomer for 1-chloronaphthalene.",Wikipedia,Q18923298,20240416.0
