process_taxonomic,process_id,process_label,process_present_participle,process_nominalization,nonprocess_noun,synonym,wikipedia_page,participant
fluoresce,fluoresce,fluoresce,fluorescing,fluorescence,,,,
fluorinate,fluorinate,fluorinate,fluorinating,fluorination,,,,
glaciate,glaciate,glaciate,glaciating,glaciation,,,,
halogenate,halogenate,halogenate,halogenating,halogenation,,,,
heat,heat,heat,heating,heating,,,,
humidify,humidify,humidify,humidifying,humidification,,,,
hydrate,hydrate,hydrate,hydrating,hydration,,,,
hydrogenate,hydrogenate,hydrogenate,hydrogenating,hydrogenation,,,,
hydrolyze,hydrolyze,hydrolyze,hydrolyzing,hydrolysis,,,,
hydropeaking,,,,,,,,
illuminate,illuminate,illuminate,illuminating,illumination,illumination,,,
immigrate,immigrate,immigrate,immigrating,immigration,,,,
immunize,immunize,immunize,immunizing,immunization,,,,
incarcerate,incarcerate,incarcerate,incarcerating,incarceration,,,,
inhale,inhale,inhale,inhaling,inhalation,,,,
iodize,iodize,iodize,iodizing,iodination,,,,
luminesce,luminesce,luminesce,luminescing,luminescence,,,,
metabolize,metabolize,metabolize,metabolizing,metabolism,,,,
methylate,methylate,methylate,methylating,methylation,,,,
mineralize,mineralize,mineralize,mineralizing,mineralization,,,,
nest,nest,nest,nesting,nesting,,,,
nitrify,nitrify,nitrify,nitrifying,nitrification,,,,
ovulate,ovulate,ovulate,ovulating,ovulation,,,,
oxidize,oxidize,oxidize,oxidizing,"oxidization, oxidation",,,,
oxychlorinate,oxychlorinate,oxychlorinate,oxychlorinating,oxychlorination,,,,
oxygenate,oxygenate,oxygenate,oxygenating,oxygenation,,,,
parachute,parachute,parachute,parachuting,parachuting,,,,
peroxidate,peroxidate,peroxidate,peroxidating,peroxidation,,,,
perspire,perspire,perspire,perspiring,perspiration,perspiration,,,
phosphoresce,phosphoresce,phosphoresce,phosphorescing,phosphorescence,,,,
phosphorylate,phosphorylate,phosphorylate,phosphorylating,phosphorylation,,,,
photolyse,photolyse,photolyse,photolysing,photolysis,,,,
photophosphorylate,photophosphorylate,photophosphorylate,photophosphorylizing,photophosphorylation,,,,
photorespire,photorespire,photorespire,photorespiring,photorespiration,,,,
photosynthesize,photosynthesize,photosynthesize,photosynthesizing,photosynthesis,,,,
plow,plow,plow,plowing,plowing,,,,
poison,poison,poison,poisoning,poisoning,,,,
protonate,protonate,protonate,protonating,protonation,,,,
pyritize,pyritize,pyritize,pyritizing,pyritization,,,,
rancidify,rancidify,rancidify,rancidifying,rancidification,,,,
reaerate,reaerate,reaerate,reaerating,reaeration,,,,
remineralize,remineralize,remineralize,remineralizing,remineralization,,,,
respire,respire,respire,respiring,respiration,,,,
resuscitate,resuscitate,resuscitate,resuscitating,resuscitation,,,,
revegetate,revegetate,revegetate,revegetation,revegetation,,,,
rockfall,rockfall,rockfall,,,,,,
saccharify,saccharify,saccharify,saccharafying,saccharification,,,,
sediment,sediment,sediment,sedimenting,sedimentation,,,,
suture,suture,suture,suturing,,suturing,,,
swim,swim,swim,swimming,swimming,,,,
transpire,transpire,transpire,transpiring,transpiration,,,http://en.wikipedia.org/wiki/Transpiration,
trophobiosis,trophobiosis,trophobiosis,,,,,https://en.wikipedia.org/wiki/Trophobiosis,
urbanize,urbanize,urbanize,urbanizing,urbanization,,,,
vaccinate,vaccinate,vaccinate,vaccinating,vaccination,,,,
