phen_taxonomic,phen_id,phen_label,associated_process,synonym,plural_of,wikipedia_page
radiation~electromagnetic~uv,radiation~uv,radiation~uv,,,,https://en.wikipedia.org/wiki/Ultraviolet
radiation~electromagnetic~uv~254nm,radiation~uv~254nm,radiation~uv~254nm,,,,
radiation~electromagnetic~visible,radiation~visible,radiation~visible,,radiation~light,,https://en.wikipedia.org/wiki/Visible_spectrum
rainfall,rainfall,rainfall,fall,rain,,https://en.wikipedia.org/wiki/Rain
snowfall,snowfall,snowfall,precipitate,,,
vasoconstriction,vasoconstriction,vasoconstriction,constrict,,,https://en.wikipedia.org/wiki/Vasoconstriction
vasodilation,vasodilation,vasodilation,dilate,,,https://en.wikipedia.org/wiki/Vasodilation
vortex,vortex,vortex,,,,https://en.wikipedia.org/wiki/Vortex
wave,wave,wave,,,,http://en.wikipedia.org/wiki/Wave
wave~airy,wave~airy,wave~airy,,,,https://en.wikipedia.org/wiki/Airy_wave_theory#Mathematical_formulation_of_the_wave_motion
wave~breaking,wave~breaking,wave~breaking,,,,https://en.wikipedia.org/wiki/Breaking_wave
wave~cnoidal,wave~cnoidal,wave~cnoidal,,,,https://en.wikipedia.org/wiki/Cnoidal_wave
wave~deepwater,wave~deepwater,wave~deepwater,,,,
wave~electromagnetic,wave~electromagnetic,wave~electromagnetic,,,,https://en.wikipedia.org/wiki/Electromagnetic_radiation
wave~gravity,wave~gravity,wave~gravity,,,,https://en.wikipedia.org/wiki/Gravity_wave
wave~gravity~internal,wave~gravity~internal,wave~gravity~internal,,,,https://en.wikipedia.org/wiki/Internal_wave
wave~gravity~nonorographic,wave~gravity~nonorographic,wave~gravity~nonorographic,,,,
wave~gravity~orographic,wave~gravity~orographic,wave~gravity~orographic,,,,
wave~mechanical,wave~mechanical,wave~mechanical,,,,https://en.wikipedia.org/wiki/Mechanical_wave
wave~mechanical~acoustic,wave~acoustic,wave~acoustic,,sound,,"https://en.wikipedia.org/wiki/Acoustic_wave, https://en.wikipedia.org/wiki/Sound"
wave~mechanical~swell,swell,swell,,,,https://en.wikipedia.org/wiki/Swell_(ocean)
wave~mechanical~swell~primary,swell~primary,swell~primary,,,,
wave~mechanical~swell~secondary,swell~secondary,swell~secondary,,,,
wave~seismic,wave~seismic,wave~seismic,,,,https://en.wikipedia.org/wiki/Seismic_wave
wave~seismic~love,wave~seismic~love,wave~seismic~love,,,,http://en.wikipedia.org/wiki/Seismic_wave#Love_waves
wave~seismic~p,wave~seismic~p,wave~seismic~p,,,,https://en.wikipedia.org/wiki/P-wave
wave~seismic~rayleigh,wave~seismic~rayleigh,wave~seismic~rayleigh,,,,https://en.wikipedia.org/wiki/Seismic_wave#Rayleigh_waves
wave~seismic~s,wave~seismic~s,wave~seismic~s,,,,https://en.wikipedia.org/wiki/S-wave
wave~seismic~sh,wave~seismic~sh,wave~seismic~sh,,,,
wave~sine,wave~sine,wave~sine,,,,https://en.wikipedia.org/wiki/Sine_wave
wave~stokes,wave~stokes,wave~stokes,,,,https://en.wikipedia.org/wiki/Stokes_wave
wave~sv,wave~seismic~sv,wave~seismic~sv,,,,
waves,waves,waves,,,wave,
waves~gravity,waves~gravity,waves~gravity,,,wave~gravity,
waves~gravity~orographic,waves~gravity~orographic,waves~gravity~orographic,,,wave~gravity~orographic,
wind,wind,wind,,,,http://en.wikipedia.org/wiki/Wind
